city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind_speed,rain
Adelanto,City,San Bernardino,california,34.5828,-117.409,2.98,41,Good air quality,o3,12/1/2018 6:06,57.13,75,1015,5.1,0
Agoura Hills,City,Los Angeles,california,34.1533,-118.762,3,48,Good air quality,pm25,12/1/2018 6:06,63.01,40,1016,3.6,0
Alameda,City,Alameda,california,37.7652,-122.242,2,61,Moderate air quality,pm25,12/1/2018 6:06,57.88,1,1020,2.1,1.02
Albany,City,Alameda,california,37.8869,-122.298,1.97,61,Moderate air quality,pm25,12/1/2018 6:06,58.35,1,1020,2.1,1.02
Alhambra,City,Los Angeles,california,34.0953,-118.127,3,66,Moderate air quality,pm25,12/1/2018 6:06,63.27,1,1015,2.1,0
Aliso Viejo,City,Orange,california,33.5685,-117.726,3.17,52,Moderate air quality,pm25,12/1/2018 6:06,62.53,1,1016,0.83,0
Alturas,City,Modoc,california,41.4871,-120.542,1.52,30,Good air quality,o3,12/1/2018 6:06,33.98,90,1013,3.6,0
Amador City,City,Amador,california,38.4194,-120.824,1.97,38,Good air quality,pm25,12/1/2018 6:06,50.2,1,1018,3.6,1.02
American Canyon,City,Napa,california,38.1749,-122.261,1.92,33,Good air quality,pm25,12/1/2018 6:06,58.39,1,1019,2.1,0.51
Anaheim,City,Orange,california,33.8366,-117.914,3.04,59,Moderate air quality,pm25,12/1/2018 6:06,62.92,20,1015,5.33,0
Anderson,City,Shasta,california,40.4482,-122.298,1.57,71,Moderate air quality,pm25,12/1/2018 6:06,50.43,90,1016,2.1,0
Angels Camp,City,Calaveras,california,38.0678,-120.539,2.05,58,Moderate air quality,pm25,12/1/2018 6:06,49.8,1,1019,1.56,2.67
Antioch,City,Contra Costa,california,38.0049,-121.806,1.93,61,Moderate air quality,pm25,12/1/2018 6:06,58.03,1,1019,3.1,1.17
Apple Valley,Town,San Bernardino,california,34.5008,-117.186,3,42,Good air quality,o3,12/1/2018 6:06,59.54,1,1014,8.7,0
Arcadia,City,Los Angeles,california,34.1397,-118.035,3,56,Moderate air quality,pm25,12/1/2018 6:06,62.69,1,1015,2.1,0
Arcata,City,Humboldt,california,40.8665,-124.083,1.46,21,Good air quality,o3,12/1/2018 6:06,48.04,75,1017,4.6,0
Arroyo Grande,City,San Luis Obispo,california,35.1186,-120.591,2.74,41,Good air quality,pm25,12/1/2018 6:06,58.35,1,1019,1.93,0
Artesia,City,Los Angeles,california,33.8658,-118.083,3.05,59,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Arvin,City,Kern,california,35.2018,-118.833,2.78,70,Moderate air quality,pm25,12/1/2018 6:06,54.1,20,1018,2.1,0
Atascadero,City,San Luis Obispo,california,35.4894,-120.671,2.71,41,Good air quality,pm25,12/1/2018 6:06,58.23,1,1019,4.6,0
Atherton,Town,San Mateo,california,37.4613,-122.198,2.12,57,Moderate air quality,pm25,12/1/2018 6:06,56.95,1,1020,3.83,0.92
Atwater,City,Merced,california,37.3477,-120.609,2.19,76,Moderate air quality,pm25,12/1/2018 6:06,51.78,1,1019,2.1,4.32
Auburn,City,Placer,california,38.8966,-121.077,1.87,37,Good air quality,pm25,12/1/2018 6:06,52.02,1,1018,3.6,0
Avalon,City,Los Angeles,california,33.3428,-118.328,3.21,40,Good air quality,pm25,12/1/2018 6:06,64.06,90,1016,4.1,0
Avenal,City,Kings,california,36.0041,-120.129,2.52,55,Moderate air quality,pm25,12/1/2018 6:06,55.29,1,1019,4.1,0
Azusa,City,Los Angeles,california,34.1336,-117.908,3.02,64,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1016,1.46,0
Bakersfield,City,Kern,california,35.3733,-119.019,2.71,114,Unhealthy for sensitive groups air quality,pm25,12/1/2018 6:06,56.64,20,1018,2.1,0
Baldwin Park,City,Los Angeles,california,34.0853,-117.961,3.02,68,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,1.46,0
Banning,City,Riverside,california,33.9256,-116.876,3.16,49,Good air quality,o3,12/1/2018 6:06,60.15,1,1016,0.71,0
Barstow,City,San Bernardino,california,34.8958,-117.017,2.9,42,Good air quality,pm25,12/1/2018 6:06,58.32,1,1014,8.7,0
Beaumont,City,Riverside,california,33.9295,-116.977,3.16,63,Moderate air quality,pm25,12/1/2018 6:06,60.71,1,1016,0.71,0
Bell,City,Los Angeles,california,33.9775,-118.187,3.05,68,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Bell Gardens,City,Los Angeles,california,33.9653,-118.151,3.05,66,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,1.46,0
Bellflower,City,Los Angeles,california,33.8817,-118.117,3.05,53,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Belmont,City,San Mateo,california,37.5202,-122.276,2.04,61,Moderate air quality,pm25,12/1/2018 6:06,57.72,1,1020,2.1,1.02
Belvedere,City,Marin,california,37.8727,-122.464,1.97,32,Good air quality,pm25,12/1/2018 6:06,58.23,20,1020,3.1,1.02
Benicia,City,Solano,california,38.0494,-122.159,1.94,33,Good air quality,pm25,12/1/2018 6:06,58.35,1,1020,2.1,0.44
