,city,type,county,state,lat,lng,rain
0,Adelanto,City,San Bernardino,california,34.582769899999995,-117.40921499999999,0.0
1,Agoura Hills,City,Los Angeles,california,34.1533395,-118.7616764,0.0
2,Alameda,City,Alameda,california,37.7652065,-122.2416355,1.02
3,Albany,City,Alameda,california,37.88687,-122.29774750000001,1.02
4,Alhambra,City,Los Angeles,california,34.095287,-118.1270146,0.0
5,Aliso Viejo,City,Orange,california,33.5684605,-117.7262981,0.0
6,Alturas,City,Modoc,california,41.4871146,-120.54245549999999,0.0
7,Amador City,City,Amador,california,38.41935529999999,-120.82410300000001,1.02
8,American Canyon,City,Napa,california,38.174917799999996,-122.2608044,0.51
9,Anaheim,City,Orange,california,33.8365932,-117.91430120000001,0.0
10,Anderson,City,Shasta,california,40.448208,-122.2977815,0.0
11,Angels Camp,City,Calaveras,california,38.06778320000001,-120.53852990000001,2.67
12,Antioch,City,Contra Costa,california,38.0049214,-121.80578899999999,1.17
13,Apple Valley,Town,San Bernardino,california,34.5008311,-117.18587590000001,0.0
14,Arcadia,City,Los Angeles,california,34.139729200000005,-118.0353449,0.0
15,Arcata,City,Humboldt,california,40.866516600000004,-124.0828396,0.0
16,Arroyo Grande,City,San Luis Obispo,california,35.118586799999996,-120.59072520000001,0.0
17,Artesia,City,Los Angeles,california,33.8658484,-118.08312120000001,0.0
18,Arvin,City,Kern,california,35.201798600000004,-118.833105,0.0
19,Atascadero,City,San Luis Obispo,california,35.4894169,-120.67072549999999,0.0
20,Atherton,Town,San Mateo,california,37.46132720000001,-122.19774299999999,0.92
21,Atwater,City,Merced,california,37.3477174,-120.60908400000001,4.32
22,Auburn,City,Placer,california,38.8965654,-121.07689009999999,0.0
23,Avalon,City,Los Angeles,california,33.3428193,-118.32822790000002,0.0
24,Avenal,City,Kings,california,36.0041223,-120.12902720000001,0.0
25,Azusa,City,Los Angeles,california,34.1336186,-117.90756270000001,0.0
26,Bakersfield,City,Kern,california,35.3732921,-119.0187125,0.0
27,Baldwin Park,City,Los Angeles,california,34.0852868,-117.96089779999998,0.0
28,Banning,City,Riverside,california,33.9255713,-116.87641029999999,0.0
29,Barstow,City,San Bernardino,california,34.89579570000001,-117.01728259999999,0.0
30,Beaumont,City,Riverside,california,33.929460600000006,-116.977248,0.0
31,Bell,City,Los Angeles,california,33.9775142,-118.1870156,0.0
