city,type,county,state,lat,lng
Adelanto,City,San Bernardino,california,34.5827699,-117.409215
Agoura Hills,City,Los Angeles,california,34.1533395,-118.7616764
Alameda,City,Alameda,california,37.7652065,-122.2416355
Albany,City,Alameda,california,37.88687,-122.2977475
Alhambra,City,Los Angeles,california,34.095287,-118.1270146
Aliso Viejo,City,Orange,california,33.5684605,-117.7262981
Alturas,City,Modoc,california,41.4871146,-120.5424555
Amador City,City,Amador,california,38.4193553,-120.824103
American Canyon,City,Napa,california,38.1749178,-122.2608044
Anaheim,City,Orange,california,33.8365932,-117.9143012
Anderson,City,Shasta,california,40.448208,-122.2977815
Angels Camp,City,Calaveras,california,38.0677832,-120.5385299
Antioch,City,Contra Costa,california,38.0049214,-121.805789
Apple Valley,Town,San Bernardino,california,34.5008311,-117.1858759
Arcadia,City,Los Angeles,california,34.1397292,-118.0353449
Arcata,City,Humboldt,california,40.8665166,-124.0828396
Arroyo Grande,City,San Luis Obispo,california,35.1185868,-120.5907252
Artesia,City,Los Angeles,california,33.8658484,-118.0831212
Arvin,City,Kern,california,35.2017986,-118.833105
Atascadero,City,San Luis Obispo,california,35.4894169,-120.6707255
Atherton,Town,San Mateo,california,37.4613272,-122.197743
Atwater,City,Merced,california,37.3477174,-120.609084
Auburn,City,Placer,california,38.8965654,-121.0768901
Avalon,City,Los Angeles,california,33.3428193,-118.3282279
Avenal,City,Kings,california,36.0041223,-120.1290272
Azusa,City,Los Angeles,california,34.1336186,-117.9075627
Bakersfield,City,Kern,california,35.3732921,-119.0187125
Baldwin Park,City,Los Angeles,california,34.0852868,-117.9608978
Banning,City,Riverside,california,33.9255713,-116.8764103
Barstow,City,San Bernardino,california,34.8957957,-117.0172826
Beaumont,City,Riverside,california,33.9294606,-116.977248
Bell,City,Los Angeles,california,33.9775142,-118.1870156
Bell Gardens,City,Los Angeles,california,33.9652918,-118.1514588
Bellflower,City,Los Angeles,california,33.8816818,-118.1170117
Belmont,City,San Mateo,california,37.5202145,-122.2758008
Belvedere,City,Marin,california,37.8727044,-122.4644171
Benicia,City,Solano,california,38.049365,-122.1585777
Berkeley,City,Alameda,california,37.8715926,-122.272747
Beverly Hills,City,Los Angeles,california,34.0736204,-118.4003563
Big Bear Lake,City,San Bernardino,california,34.2438963,-116.9114215
Biggs,City,Butte,california,39.4123876,-121.7127513
Bishop,City,Inyo,california,37.3614238,-118.3996636
Blue Lake,City,Humboldt,california,40.8829072,-123.9839488
Blythe,City,Riverside,california,33.6177725,-114.5882607
Bradbury,City,Los Angeles,california,34.1469511,-117.9708982
Brawley,City,Imperial,california,32.9786566,-115.530267
Brea,City,Orange,california,33.916475,-117.9002918
Brentwood,City,Contra Costa,california,37.931868,-121.6957863
Brisbane,City,San Mateo,california,37.6807661,-122.3999715
Buellton,City,Santa Barbara,california,34.613597,-120.1926505
Buena Park,City,Orange,california,33.8674044,-117.9981387
Burbank,City,Los Angeles,california,34.1808392,-118.3089661
Burlingame,City,San Mateo,california,37.5778696,-122.34809
Calabasas,City,Los Angeles,california,34.1367208,-118.6614809
Calexico,City,Imperial,california,32.6789476,-115.4988834
California City,City,Kern,california,35.125801,-117.9859038
Calimesa,City,Riverside,california,34.0039039,-117.0619755
Calipatria,City,Imperial,california,33.1255957,-115.5141538
Calistoga,City,Napa,california,38.5787965,-122.5797054
Camarillo,City,Ventura,california,34.2163937,-119.0376023
Campbell,City,Santa Clara,california,37.2871651,-121.9499568
