cities,lat,lng,aqi,category,dominant_pollutant
Adelanto,34.582769899999995,-117.40921499999999,41,Good air quality,o3
Agoura Hills,34.1533395,-118.7616764,48,Good air quality,pm25
Alameda,37.7652065,-122.2416355,61,Moderate air quality,pm25
Albany,37.88687,-122.29774750000001,61,Moderate air quality,pm25
Alhambra,34.095287,-118.1270146,66,Moderate air quality,pm25
Aliso Viejo,33.5684605,-117.7262981,52,Moderate air quality,pm25
Alturas,41.4871146,-120.54245549999999,30,Good air quality,o3
Amador City,38.41935529999999,-120.82410300000001,38,Good air quality,pm25
American Canyon,38.174917799999996,-122.2608044,33,Good air quality,pm25
Anaheim,33.8365932,-117.91430120000001,59,Moderate air quality,pm25
Anderson,40.448208,-122.2977815,71,Moderate air quality,pm25
Angels Camp,38.06778320000001,-120.53852990000001,58,Moderate air quality,pm25
Antioch,38.0049214,-121.80578899999999,61,Moderate air quality,pm25
Apple Valley,34.5008311,-117.18587590000001,42,Good air quality,o3
Arcadia,34.139729200000005,-118.0353449,56,Moderate air quality,pm25
Arcata,40.866516600000004,-124.0828396,21,Good air quality,o3
Arroyo Grande,35.118586799999996,-120.59072520000001,41,Good air quality,pm25
Artesia,33.8658484,-118.08312120000001,59,Moderate air quality,pm25
Arvin,35.201798600000004,-118.833105,70,Moderate air quality,pm25
Atascadero,35.4894169,-120.67072549999999,41,Good air quality,pm25
Atherton,37.46132720000001,-122.19774299999999,57,Moderate air quality,pm25
Atwater,37.3477174,-120.60908400000001,76,Moderate air quality,pm25
Auburn,38.8965654,-121.07689009999999,37,Good air quality,pm25
Avalon,33.3428193,-118.32822790000002,40,Good air quality,pm25
Avenal,36.0041223,-120.12902720000001,55,Moderate air quality,pm25
Azusa,34.1336186,-117.90756270000001,64,Moderate air quality,pm25
Bakersfield,35.3732921,-119.0187125,114,Unhealthy for sensitive groups air quality,pm25
Baldwin Park,34.0852868,-117.96089779999998,68,Moderate air quality,pm25
Banning,33.9255713,-116.87641029999999,49,Good air quality,o3
Barstow,34.89579570000001,-117.01728259999999,42,Good air quality,pm25
Beaumont,33.929460600000006,-116.977248,63,Moderate air quality,pm25
Bell,33.9775142,-118.1870156,68,Moderate air quality,pm25
Bell Gardens,33.965291799999996,-118.1514588,66,Moderate air quality,pm25
Bellflower,33.881681799999996,-118.1170117,53,Moderate air quality,pm25
Belmont,37.5202145,-122.27580079999998,61,Moderate air quality,pm25
Belvedere,37.872704399999996,-122.46441709999999,32,Good air quality,pm25
Benicia,38.049365,-122.1585777,33,Good air quality,pm25
Berkeley,37.87159260000001,-122.272747,62,Moderate air quality,pm25
Beverly Hills,34.073620399999996,-118.40035630000001,59,Moderate air quality,pm25
Big Bear Lake,34.243896299999996,-116.9114215,41,Good air quality,o3
Biggs,39.4123876,-121.71275130000001,52,Moderate air quality,pm25
Bishop,37.3614238,-118.3996636,41,Good air quality,pm25
Blue Lake,40.882907200000005,-123.9839488,22,Good air quality,o3
Blythe,33.6177725,-114.5882607,56,Moderate air quality,pm25
Bradbury,34.1469511,-117.97089820000001,45,Good air quality,pm25
Brawley,32.9786566,-115.530267,89,Moderate air quality,pm25
Brea,33.916475,-117.9002918,59,Moderate air quality,pm25
Brentwood,37.931868,-121.6957863,60,Moderate air quality,pm25
Brisbane,37.6807661,-122.3999715,34,Good air quality,pm25
Buellton,34.613597,-120.19265049999998,48,Good air quality,pm25
Buena Park,33.8674044,-117.99813870000001,65,Moderate air quality,pm25
Burbank,34.18083920000001,-118.30896609999998,73,Moderate air quality,pm25
Burlingame,37.5778696,-122.34808999999998,57,Moderate air quality,pm25
Calabasas,34.1367208,-118.66148090000002,39,Good air quality,pm25
Calexico,32.6789476,-115.4988834,105,Unhealthy for sensitive groups air quality,pm25
California City,35.125801,-117.98590379999999,38,Good air quality,o3
Calimesa,34.0039039,-117.06197549999999,66,Moderate air quality,pm25
Calipatria,33.1255957,-115.51415379999999,89,Moderate air quality,pm25
Calistoga,38.5787965,-122.5797054,51,Moderate air quality,pm25
Camarillo,34.216393700000005,-119.0376023,59,Moderate air quality,pm25
Campbell,37.2871651,-121.9499568,56,Moderate air quality,pm25
Canyon Lake,33.685021500000005,-117.27309309999998,34,Good air quality,o3
Capitola,36.9752283,-121.95329299999999,63,Moderate air quality,pm25
Carlsbad,33.158093300000004,-117.3505939,59,Moderate air quality,pm25
Carmel-by-the-Sea,36.5552386,-121.92328789999999,49,Good air quality,pm25
Carpinteria,34.39888380000001,-119.5184564,35,Good air quality,o3
Carson,33.8316745,-118.28169299999999,56,Moderate air quality,pm25
Cathedral City,33.780538799999995,-116.46680359999999,46,Good air quality,pm25
Ceres,37.5949316,-120.9577098,70,Moderate air quality,pm25
Cerritos,33.858348299999996,-118.0647871,56,Moderate air quality,pm25
Chico,39.728494399999995,-121.8374777,53,Moderate air quality,pm25
Chino,34.0122346,-117.68894399999999,58,Moderate air quality,pm25
Chino Hills,33.989818799999995,-117.7325848,52,Moderate air quality,pm25
Chowchilla,37.1229997,-120.2601754,64,Moderate air quality,pm25
Chula Vista,32.6400541,-117.0841955,85,Moderate air quality,pm25
Citrus Heights,38.7071247,-121.2810611,44,Good air quality,pm25
Claremont,34.0966764,-117.71977849999999,62,Moderate air quality,pm25
Clayton,37.9410341,-121.9357925,40,Good air quality,pm25
Clearlake,38.9582307,-122.62637279999998,33,Good air quality,pm25
Cloverdale,38.8054624,-123.01722269999999,53,Moderate air quality,pm25
Clovis,36.8252277,-119.70291940000001,68,Moderate air quality,pm25
Coachella,33.6803003,-116.17389399999999,38,Good air quality,o3
Coalinga,36.139678,-120.3601496,55,Moderate air quality,pm25
Colfax,39.100729799999996,-120.95327590000001,39,Good air quality,pm25
Colma,37.6768779,-122.459695,58,Moderate air quality,pm25
Colton,34.0739016,-117.3136547,70,Moderate air quality,pm25
Colusa,39.2143343,-122.0094175,66,Moderate air quality,pm25
Commerce,34.0005691,-118.1597929,68,Moderate air quality,pm25
Compton,33.8958492,-118.2200712,68,Moderate air quality,pm25
Concord,37.9779776,-122.0310733,59,Moderate air quality,pm25
Corcoran,36.098007,-119.56040149999998,101,Unhealthy for sensitive groups air quality,pm25
Corning,39.927657200000006,-122.17915559999999,39,Good air quality,pm25
Corona,33.8752935,-117.56643840000001,63,Moderate air quality,pm25
Coronado,32.6858853,-117.18308909999999,75,Moderate air quality,pm25
Corte Madera,37.92548060000001,-122.5274755,42,Good air quality,pm25
Costa Mesa,33.6412156,-117.91882209999999,59,Moderate air quality,pm25
Cotati,38.3293416,-122.70966659999999,50,Good air quality,pm25
