index,city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind(speed),rain
0,Adelanto,City,San Bernardino,california,34.5827699,-117.409215,2.98,41,Good air quality,o3,2018-12-01 06:06:27+00,13.95,75,1015.0,5.1,0.0
1,Agoura Hills,City,Los Angeles,california,34.1533395,-118.7616764,3.0,48,Good air quality,pm25,2018-12-01 06:06:27+00,17.23,40,1016.0,3.6,0.0
2,Alameda,City,Alameda,california,37.7652065,-122.2416355,2.0,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.29,1,1020.0,2.1,1.02
3,Albany,City,Alameda,california,37.88687,-122.2977475,1.97,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.6,1,1020.0,2.1,1.02
4,Alhambra,City,Los Angeles,california,34.095287,-118.1270146,3.0,66,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.37,1,1015.0,2.1,0.0
5,Aliso Viejo,City,Orange,california,33.5684605,-117.7262981,3.17,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.03,1,1016.0,0.83,0.0
6,Alturas,City,Modoc,california,41.4871146,-120.5424555,1.52,30,Good air quality,o3,2018-12-01 06:06:27+00,1.1,90,1013.0,3.6,0.0
7,Amador City,City,Amador,california,38.4193553,-120.824103,1.97,38,Good air quality,pm25,2018-12-01 06:06:27+00,10.03,1,1018.0,3.6,1.02
8,American Canyon,City,Napa,california,38.1749178,-122.2608044,1.92,33,Good air quality,pm25,2018-12-01 06:06:27+00,14.73,1,1019.0,2.1,0.51
9,Anaheim,City,Orange,california,33.8365932,-117.9143012,3.04,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,20,1015.0,5.33,0.0
10,Anderson,City,Shasta,california,40.448208,-122.2977815,1.57,71,Moderate air quality,pm25,2018-12-01 06:06:27+00,9.77,90,1016.0,2.1,0.0
11,Angels Camp,City,Calaveras,california,38.0677832,-120.5385299,2.05,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,9.68,1,1019.0,1.56,2.67
12,Antioch,City,Contra Costa,california,38.0049214,-121.805789,1.93,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.27,1,1019.0,3.1,1.17
13,Apple Valley,Town,San Bernardino,california,34.5008311,-117.1858759,3.0,42,Good air quality,o3,2018-12-01 06:06:27+00,15.3,1,1014.0,8.7,0.0
14,Arcadia,City,Los Angeles,california,34.1397292,-118.0353449,3.0,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.05,1,1015.0,2.1,0.0
15,Arcata,City,Humboldt,california,40.8665166,-124.0828396,1.46,21,Good air quality,o3,2018-12-01 06:06:27+00,8.47,75,1017.0,4.6,0.0
16,Arroyo Grande,City,San Luis Obispo,california,35.1185868,-120.5907252,2.74,41,Good air quality,pm25,2018-12-01 06:06:27+00,14.64,1,1019.0,1.93,0.0
17,Artesia,City,Los Angeles,california,33.8658484,-118.0831212,3.05,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
18,Arvin,City,Kern,california,35.2017986,-118.833105,2.78,70,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.08,20,1018.0,2.1,0.0
19,Atascadero,City,San Luis Obispo,california,35.4894169,-120.6707255,2.71,41,Good air quality,pm25,2018-12-01 06:06:27+00,14.54,1,1019.0,4.6,0.0
20,Atherton,Town,San Mateo,california,37.4613272,-122.197743,2.12,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.69,1,1020.0,3.83,0.92
21,Atwater,City,Merced,california,37.3477174,-120.609084,2.19,76,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.33,1,1019.0,2.1,4.32
22,Auburn,City,Placer,california,38.8965654,-121.0768901,1.87,37,Good air quality,pm25,2018-12-01 06:06:27+00,10.99,1,1018.0,3.6,0.0
23,Avalon,City,Los Angeles,california,33.3428193,-118.3282279,3.21,40,Good air quality,pm25,2018-12-01 06:06:27+00,17.81,90,1016.0,4.1,0.0
24,Avenal,City,Kings,california,36.0041223,-120.1290272,2.52,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.95,1,1019.0,4.1,0.0
25,Azusa,City,Los Angeles,california,34.1336186,-117.9075627,3.02,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1016.0,1.46,0.0
26,Bakersfield,City,Kern,california,35.3732921,-119.0187125,2.71,114,Unhealthy for sensitive groups air quality,pm25,2018-12-01 06:06:27+00,13.42,20,1018.0,2.1,0.0
27,Baldwin Park,City,Los Angeles,california,34.0852868,-117.9608978,3.02,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,1.46,0.0
28,Banning,City,Riverside,california,33.9255713,-116.8764103,3.16,49,Good air quality,o3,2018-12-01 06:06:27+00,15.93,1,1016.0,0.71,0.0
29,Barstow,City,San Bernardino,california,34.8957957,-117.0172826,2.9,42,Good air quality,pm25,2018-12-01 06:06:27+00,14.64,1,1014.0,8.7,0.0
30,Beaumont,City,Riverside,california,33.9294606,-116.977248,3.16,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.19,1,1016.0,0.71,0.0
31,Bell,City,Los Angeles,california,33.9775142,-118.1870156,3.05,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
32,Bell Gardens,City,Los Angeles,california,33.9652918,-118.1514588,3.05,66,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,1.46,0.0
33,Bellflower,City,Los Angeles,california,33.8816818,-118.1170117,3.05,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
34,Belmont,City,San Mateo,california,37.5202145,-122.2758008,2.04,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.07,1,1020.0,2.1,1.02
35,Belvedere,City,Marin,california,37.8727044,-122.4644171,1.97,32,Good air quality,pm25,2018-12-01 06:06:27+00,14.52,20,1020.0,3.1,1.02
36,Benicia,City,Solano,california,38.049365,-122.1585777,1.94,33,Good air quality,pm25,2018-12-01 06:06:27+00,14.61,1,1020.0,2.1,0.44
37,Berkeley,City,Alameda,california,37.8715926,-122.272747,1.97,62,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.6,1,1020.0,2.1,1.02
38,Beverly Hills,City,Los Angeles,california,34.0736204,-118.4003563,2.98,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.41,20,1015.0,3.1,0.0
39,Big Bear Lake,City,San Bernardino,california,34.2438963,-116.9114215,3.27,41,Good air quality,o3,2018-12-01 06:06:27+00,15.41,40,1016.0,2.1,0.0
40,Biggs,City,Butte,california,39.4123876,-121.7127513,1.74,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.99,1,1017.0,3.1,0.0
41,Bishop,City,Inyo,california,37.3614238,-118.3996636,2.49,41,Good air quality,pm25,2018-12-01 06:06:27+00,0.9,1,1016.0,1.5,0.0
42,Blue Lake,City,Humboldt,california,40.8829072,-123.9839488,1.48,22,Good air quality,o3,2018-12-01 06:06:27+00,8.48,75,1017.0,4.6,0.0
43,Blythe,City,Riverside,california,33.6177725,-114.5882607,3.16,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.85,8,1000.21,1.58,0.0
44,Bradbury,City,Los Angeles,california,34.1469511,-117.9708982,3.02,45,Good air quality,pm25,2018-12-01 06:06:27+00,17.05,1,1016.0,1.46,0.0
45,Brawley,City,Imperial,california,32.9786566,-115.530267,3.39,89,Moderate air quality,pm25,2018-12-01 06:06:27+00,20.89,1,1014.0,7.7,0.0
46,Brea,City,Orange,california,33.916475,-117.9002918,3.04,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,1.46,0.0
47,Brentwood,City,Contra Costa,california,37.931868,-121.6957863,2.01,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.12,1,1019.0,3.1,1.13
48,Brisbane,City,San Mateo,california,37.6807661,-122.3999715,2.04,34,Good air quality,pm25,2018-12-01 06:06:27+00,14.15,20,1020.0,3.1,1.02
49,Buellton,City,Santa Barbara,california,34.613597,-120.1926505,2.87,48,Good air quality,pm25,2018-12-01 06:06:27+00,15.83,1,1018.0,4.1,0.0
50,Buena Park,City,Orange,california,33.8674044,-117.9981387,3.04,65,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1015.0,5.33,0.0
51,Burbank,City,Los Angeles,california,34.1808392,-118.3089661,2.98,73,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.08,1,1015.0,2.1,0.0
52,Burlingame,City,San Mateo,california,37.5778696,-122.34809,2.04,57,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.15,1,1020.0,2.1,1.02
53,Calabasas,City,Los Angeles,california,34.1367208,-118.6614809,2.98,39,Good air quality,pm25,2018-12-01 06:06:27+00,17.44,1,1015.0,2.1,0.0
54,Calexico,City,Imperial,california,32.6789476,-115.4988834,3.48,105,Unhealthy for sensitive groups air quality,pm25,2018-12-01 06:06:27+00,20.91,1,1014.0,7.7,0.0
55,California City,City,Kern,california,35.125801,-117.9859038,2.86,38,Good air quality,o3,2018-12-01 06:06:27+00,12.93,1,1014.0,11.8,0.0
56,Calimesa,City,Riverside,california,34.0039039,-117.0619755,3.1,66,Moderate air quality,pm25,2018-12-01 06:06:27+00,15.68,1,1016.0,0.71,0.0
57,Calipatria,City,Imperial,california,33.1255957,-115.5141538,3.28,89,Moderate air quality,pm25,2018-12-01 06:06:27+00,20.89,1,1014.0,7.7,0.0
58,Calistoga,City,Napa,california,38.5787965,-122.5797054,1.86,51,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.82,1,1019.0,1.01,0.0
59,Camarillo,City,Ventura,california,34.2163937,-119.0376023,2.96,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.2,40,1016.0,3.6,0.0
60,Campbell,City,Santa Clara,california,37.2871651,-121.9499568,2.12,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.35,1,1020.0,2.1,0.92
61,Canyon Lake,City,Riverside,california,33.6850215,-117.2730931,3.19,34,Good air quality,o3,2018-12-01 06:06:27+00,16.7,1,1016.0,0.91,0.0
62,Capitola,City,Santa Cruz,california,36.9752283,-121.953293,2.23,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.54,1,1020.0,2.1,0.89
63,Carlsbad,City,San Diego,california,33.1580933,-117.3505939,3.32,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.3,1,1016.0,5.18,0.0
64,Carmel-by-the-Sea,City,Monterey,california,36.5552386,-121.9232879,2.31,49,Good air quality,pm25,2018-12-01 06:06:27+00,12.03,1,1020.0,4.1,0.38
65,Carpinteria,City,Santa Barbara,california,34.3988838,-119.5184564,2.92,35,Good air quality,o3,2018-12-01 06:06:27+00,16.69,1,1018.0,4.1,0.0
