city,county,state,lat,lng,UV_value
Adelanto,San Bernardino,california,34.5827699,-117.409215,2.98
Agoura Hills,Los Angeles,california,34.1533395,-118.7616764,3
Alameda,Alameda,california,37.7652065,-122.2416355,2
Albany,Alameda,california,37.88687,-122.2977475,1.97
Alhambra,Los Angeles,california,34.095287,-118.1270146,3
Aliso Viejo,Orange,california,33.5684605,-117.7262981,3.17
Alturas,Modoc,california,41.4871146,-120.5424555,1.52
Amador City,Amador,california,38.4193553,-120.824103,1.97
American Canyon,Napa,california,38.1749178,-122.2608044,1.92
Anaheim,Orange,california,33.8365932,-117.9143012,3.04
Anderson,Shasta,california,40.448208,-122.2977815,1.57
Angels Camp,Calaveras,california,38.0677832,-120.5385299,2.05
Antioch,Contra Costa,california,38.0049214,-121.805789,1.93
Apple Valley,San Bernardino,california,34.5008311,-117.1858759,3
Arcadia,Los Angeles,california,34.1397292,-118.0353449,3
Arcata,Humboldt,california,40.8665166,-124.0828396,1.46
Arroyo Grande,San Luis Obispo,california,35.1185868,-120.5907252,2.74
Artesia,Los Angeles,california,33.8658484,-118.0831212,3.05
Arvin,Kern,california,35.2017986,-118.833105,2.78
Atascadero,San Luis Obispo,california,35.4894169,-120.6707255,2.71
Atherton,San Mateo,california,37.4613272,-122.197743,2.12
Atwater,Merced,california,37.3477174,-120.609084,2.19
Auburn,Placer,california,38.8965654,-121.0768901,1.87
Avalon,Los Angeles,california,33.3428193,-118.3282279,3.21
Avenal,Kings,california,36.0041223,-120.1290272,2.52
Azusa,Los Angeles,california,34.1336186,-117.9075627,3.02
Bakersfield,Kern,california,35.3732921,-119.0187125,2.71
Baldwin Park,Los Angeles,california,34.0852868,-117.9608978,3.02
Banning,Riverside,california,33.9255713,-116.8764103,3.16
Barstow,San Bernardino,california,34.8957957,-117.0172826,2.9
Beaumont,Riverside,california,33.9294606,-116.977248,3.16
Bell,Los Angeles,california,33.9775142,-118.1870156,3.05
Bell Gardens,Los Angeles,california,33.9652918,-118.1514588,3.05
Bellflower,Los Angeles,california,33.8816818,-118.1170117,3.05
Belmont,San Mateo,california,37.5202145,-122.2758008,2.04
Belvedere,Marin,california,37.8727044,-122.4644171,1.97
Benicia,Solano,california,38.049365,-122.1585777,1.94
Berkeley,Alameda,california,37.8715926,-122.272747,1.97
Beverly Hills,Los Angeles,california,34.0736204,-118.4003563,2.98
Big Bear Lake,San Bernardino,california,34.2438963,-116.9114215,3.27
Biggs,Butte,california,39.4123876,-121.7127513,1.74
Bishop,Inyo,california,37.3614238,-118.3996636,2.49
Blue Lake,Humboldt,california,40.8829072,-123.9839488,1.48
Blythe,Riverside,california,33.6177725,-114.5882607,3.16
Bradbury,Los Angeles,california,34.1469511,-117.9708982,3.02
Brawley,Imperial,california,32.9786566,-115.530267,3.39
Brea,Orange,california,33.916475,-117.9002918,3.04
Brentwood,Contra Costa,california,37.931868,-121.6957863,2.01
Brisbane,San Mateo,california,37.6807661,-122.3999715,2.04
Buellton,Santa Barbara,california,34.613597,-120.1926505,2.87
Buena Park,Orange,california,33.8674044,-117.9981387,3.04
Burbank,Los Angeles,california,34.1808392,-118.3089661,2.98
Burlingame,San Mateo,california,37.5778696,-122.34809,2.04
Calabasas,Los Angeles,california,34.1367208,-118.6614809,2.98
Calexico,Imperial,california,32.6789476,-115.4988834,3.48
California City,Kern,california,35.125801,-117.9859038,2.86
Calimesa,Riverside,california,34.0039039,-117.0619755,3.1
Calipatria,Imperial,california,33.1255957,-115.5141538,3.28
Calistoga,Napa,california,38.5787965,-122.5797054,1.86
Camarillo,Ventura,california,34.2163937,-119.0376023,2.96
Campbell,Santa Clara,california,37.2871651,-121.9499568,2.12
Canyon Lake,Riverside,california,33.6850215,-117.2730931,3.19
Capitola,Santa Cruz,california,36.9752283,-121.953293,2.23
Carlsbad,San Diego,california,33.1580933,-117.3505939,3.32
Carmel-by-the-Sea,Monterey,california,36.5552386,-121.9232879,2.31
Carpinteria,Santa Barbara,california,34.3988838,-119.5184564,2.92
Carson,Los Angeles,california,33.8316745,-118.281693,3.05
Cathedral City,Riverside,california,33.7805388,-116.4668036,3.1
Ceres,Stanislaus,california,37.5949316,-120.9577098,2.11
Cerritos,Los Angeles,california,33.8583483,-118.0647871,3.05
Chico,Butte,california,39.7284944,-121.8374777,1.7
Chino,San Bernardino,california,34.0122346,-117.688944,3.06
Chino Hills,San Bernardino,california,33.9898188,-117.7325848,3.08
Chowchilla,Madera,california,37.1229997,-120.2601754,2.27
Chula Vista,San Diego,california,32.6400541,-117.0841955,3.47
Citrus Heights,Sacramento,california,38.7071247,-121.2810611,1.87
Claremont,Los Angeles,california,34.0966764,-117.7197785,3.06
Clayton,Contra Costa,california,37.9410341,-121.9357925,2.02
Clearlake,Lake,california,38.9582307,-122.6263728,1.83
