city,type,county,state,lat,lng,temperature,cloud,pressure,rain,date,wind_speed,uv_index,aqi,category,dominant_pollutant,date_scraped
Adelanto,City,San Bernardino,california,34.5828,-117.409,46.13,75,1021,0,2018-12-07 16:58:00,1.96,2.49,22,Good air quality,pm25,2018-12-07 08:58:00
Agoura Hills,City,Los Angeles,california,34.1533,-118.762,56.89,20,1019,0,2018-12-07 16:57:00,6.2,2.55,27,Good air quality,pm25,2018-12-07 08:58:00
Alameda,City,Alameda,california,37.7652,-122.242,46.81,75,1021,0,2018-12-07 17:00:00,2.6,1.84,56,Moderate air quality,pm10,2018-12-07 08:58:00
Albany,City,Alameda,california,37.8869,-122.298,46.6,75,1021,0,2018-12-07 17:00:00,2.6,1.83,75,Moderate air quality,pm25,2018-12-07 08:58:00
Alhambra,City,Los Angeles,california,34.0953,-118.127,56.41,1,1018,0,2018-12-07 16:58:00,1.5,2.53,52,Moderate air quality,pm25,2018-12-07 08:58:00
Aliso Viejo,City,Orange,california,33.5685,-117.726,55.49,40,1018,0.25,2018-12-07 16:58:00,1.81,2.61,34,Good air quality,pm25,2018-12-07 08:58:00
Alturas,City,Modoc,california,41.4871,-120.542,19.94,1,1021,0,2018-12-07 15:55:00,2.6,1.48,68,Moderate air quality,pm25,2018-12-07 08:58:00
Amador City,City,Amador,california,38.4194,-120.824,45.12,1,1022,0,2018-12-07 17:02:00,1.11,1.77,54,Moderate air quality,pm25,2018-12-07 08:58:00
American Canyon,City,Napa,california,38.1749,-122.261,44.67,1,1022,0,2018-12-07 16:55:00,1.51,1.79,41,Good air quality,pm10,2018-12-07 08:58:00
Anaheim,City,Orange,california,33.8366,-117.914,56.93,1,1018,0,2018-12-07 16:58:00,3.6,2.54,52,Moderate air quality,no2,2018-12-07 08:58:00
Anderson,City,Shasta,california,40.4482,-122.298,37.81,1,1022,0,2018-12-07 16:55:00,1.5,1.48,89,Moderate air quality,pm25,2018-12-07 08:58:00
Angels Camp,City,Calaveras,california,38.0678,-120.539,45.07,1,1022,0,2018-12-07 17:02:00,1.91,1.83,70,Moderate air quality,pm25,2018-12-07 08:58:00
Antioch,City,Contra Costa,california,38.0049,-121.806,45.18,1,1022,0,2018-12-07 17:02:00,1.76,1.77,58,Moderate air quality,pm25,2018-12-07 08:58:00
Apple Valley,Town,San Bernardino,california,34.5008,-117.186,51.3,90,1022,0,2018-12-07 16:58:00,1.5,2.49,23,Good air quality,pm25,2018-12-07 08:58:00
